SKU,Producto,Categoria,Marca,Precio,Stock Actual,Caducidad,Estado
5YUK77RK1O,Lima k 25 31mm,Materiales De Endodoncia,3M,0.0,0,,Activo
J8MLGOM54K,Lima Rotatorio 21mm,Materiales De Endodoncia,Denstly,0.0,0,,Activo
UVRICCRHP7,Lima Rotatorio 25mm,Materiales De Endodoncia,Denstly,0.0,0,,Activo
CLJPS2KBBR,Lima Rotatorio Primera Serie 35mm 04,Materiales De Endodoncia,3M,0.0,0,,Activo
S7FYEE6TTC,Limas Flexofile primera Serie 25mm,Materiales De Endodoncia,3M,0.0,0,,Activo
61ZSEHTOYQ,Perforador de Goma Dique,Materiales De Endodoncia,3M,0.0,0,,Activo
OXOONNMSUF,Bicarbonato de Sodio,Materiales De Higiene Oral,3M,0.0,0,,Activo
HLGKV1PZQE,Blanqueamiento 35 H,Materiales De Higiene Oral,DFL,0.0,0,,Activo
MYPTSPVG7N,Blanqueamiento Office,Materiales De Higiene Oral,Premium Grip,0.0,0,,Activo
OYWQIJBTOC,Cubetas para Fluor,Materiales De Higiene Oral,3M,0.0,0,,Activo
BK5QZYDDZX,Jeringa para Blanqueamiento,Materiales De Higiene Oral,Valma,0.0,0,,Activo
JQHQYNMQRO,Pasta Profilactica 2gr,Materiales De Higiene Oral,3M,0.0,0,,Activo
2ZCIY6FPIL,Pasta Profiláctica Menta,Materiales De Higiene Oral,3M,0.0,0,,Activo
UDOHGY82UB,Pasta Profiláctica Tutti Frutti,Materiales De Higiene Oral,3M,0.0,0,,Activo
MJD7RG3PWQ,Abre Boca Metalico,Materiales de Ortodoncia,Blossom,0.0,0,,Activo
6UZG9KTC4D,Abreboca plastico,Materiales de Ortodoncia,3M,0.0,0,,Activo
GZAHBRPXSJ,Alambre 0.7mm,Materiales de Ortodoncia,3M,0.0,0,,Activo
KNAQWMDGJX,Alambre para retenedor lingual,Materiales de Ortodoncia,3M,0.0,0,,Activo
6KOSIDLQMP,Arco Acero 12 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
MPE7LJOXRK,Arco Acero 12 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
AIKRQPXV2B,Arco Acero 14 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
1YAQEFBQXY,Arco Acero 14 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
DY7GSTYK2L,Arco Acero 16 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
IZDYISUHV8,Arco Acero 16 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
X2IVPRB9MC,Arco Acero 16x22 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
KP1SDVACXG,Arco Acero 16x22 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
2KUNQLEE7K,Arco Acero 17x22 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
T8TJ6SFAXO,Arco Acero 17x22 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
UQGTKSCQLO,Arco Acero 17x25 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
CRRBLCCHT4,Arco Acero 17x25 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
ZBAHUQGAQF,Arco Acero 18 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
C8VPE6WWG7,Arco Acero 18 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
1BEGXFU93X,Arco Acero 18x18 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
DFRRLAYERE,Arco Acero 18x25 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
E5MDII5UAH,Arco Acero 18x25 Superior,Materiales de Ortodoncia,3M,0.0,0,,Activo
S8XPVO5WWC,Arco Acero 19x25 Inferior,Materiales de Ortodoncia,3M,0.0,0,,Activo
